"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","To find the total number of clips Natalia sold in April and May, we need to add the number of clips she sold in April and May.

In April, Natalia sold 48 clips.
In May, she sold half as many clips as in April, which is 48 / 2 = 24 clips.

Total clips sold in April and May = 48 + 24 = 72 clips.

The final answer is 72.",72,True
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","To find out how many pages Julie needs to read tomorrow, we need to follow these steps:

1. Calculate the number of pages Julie read yesterday: 12 pages
2. Calculate the number of pages Julie read today: 2 * 12 = 24 pages
3. Calculate the total number of pages read so far: 12 + 24 = 36 pages
4. Calculate the number of pages remaining: 120 - 36 = 84 pages
5. Calculate half of the remaining pages: 84 / 2 = 42 pages

Therefore, Julie should read 42 pages tomorrow.",42,True
"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?","To find Mike's share of the profit, we need to first find the total profit. Since the profit is shared in the ratio 2:5, we can set up the following proportion:

2/5 = x/2500

To solve for x, we can cross-multiply:

2 * 2500 = 5x
5000 = 5x

Now, divide both sides by 5:

x = 5000/5
x = 1000

So Mike's share of the profit is $1000.

Now, let's find out how much Mike will have after spending $200 on a shirt:

Mike's initial share = $1000
Mike spends $200 on a shirt
Mike's remaining share = $1000 - $200
Mike's remaining share = $800

Therefore, Mike will have $800 after spending $200 on a shirt.",800,True
"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats.  If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.","To find the total number of hard hats remaining, we need to subtract the number of hard hats Carl and John took from the initial total.

Initial number of hard hats = 26 (pink) + 15 (green) + 24 (yellow) = 65

Carl took 4 pink hard hats, so the number of pink hard hats remaining = 26 - 4 = 22
John took 6 pink hard hats, and twice as many green hard hats as the number of pink hard hats he took, so he took 6 * 2 = 12 green hard hats.
The number of green hard hats remaining = 15 - 6 = 9
The total number of hard hats remaining = 22 (pink) + 9 (green) + 24 (yellow) = 65

The final answer is 65.",43,False
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"To find the total number of pages James writes per week, we need to multiply the number of pages he writes per letter by the number of letters he writes per week.

Number of pages per letter = 3
Number of letters per week = 2
Total pages per week = 3 * 2 = 6

Since there are 52 weeks in a year, we multiply the total pages per week by 52:

Total pages per year = 6 * 52 = 312

Therefore, James writes 312 pages per year.",624,False
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To find the final weight, we need to follow the steps Ken took to add the jelly beans, brownies, and gummy worms.

Initially, the box was 2 pounds.

1. Ken added 2 pounds of jelly beans, so the weight became 2 + 2 = 4 pounds.

2. Then, he added 2 pounds of brownies, so the weight became 4 + 2 = 6 pounds.

3. Finally, he added 2 pounds of gummy worms, so the weight became 6 + 2 = 8 pounds.

Therefore, the final weight of the box of goodies is 8 pounds.",16,False
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","To find Tina's total earnings, we need to calculate her regular pay and overtime pay separately.

Regular pay: 8 hours/day x $18/hour = $144/day
Total regular pay for 5 days = $144/day x 5 days = $720

Overtime pay: 2 hours/day x $18/hour = $36/day
Total overtime pay for 5 days = $36/day x 5 days = $180

Total pay = Regular pay + Overtime pay
Total pay = $720 + $180
Total pay = $900

So, Tina makes $900 per week.",990,False
"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","To find the total cost of the ingredients, we need to calculate the cost of each item and then add them together.

1. The cost of the cheddar cheese is $10.
2. The cost of the cream cheese is half the price of the cheddar cheese, so it is $10 / 2 = $5.
3. The cost of the cold cuts is twice the price of the cheddar cheese, so it is $10 x 2 = $20.

Now, let's add up the costs of all the ingredients:

$10 (cheddar cheese) + $5 (cream cheese) + $20 (cold cuts) = $35

Jasper spends $35 on the ingredients for his dinner party.",35,True
"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?","To find out how much money Tobias earned from mowing lawns, we need to multiply the number of lawns he mowed by the amount he charges per lawn.

Number of lawns mowed = 4
Charge per lawn = $15
Total earnings from lawns = 4 x $15 = $60

Now, let's subtract the cost of the shoes from the total amount he has after buying the shoes to find out how much he has before buying the shoes.

Total amount before buying shoes = $15 (change) + $95 (cost of shoes) = $110

Now, let's subtract the total earnings from lawns from the total amount before buying shoes to find out how much he earned from shoveling driveways.

Earnings from shoveling driveways = Total amount before buying shoes - Total earnings from lawns
= $110 - $60
= $50

Now, let's divide the earnings from shoveling driveways by the charge per driveway to find out how many driveways he shoveled.

Charge per driveway = $7
Number of driveways shoveled = Earnings from shoveling driveways / Charge per driveway
= $50 / $7
= 7.14 (round down to 7, since you can't shovel a fraction of a driveway)

So, Tobias shoveled 7 driveways.",5,True
James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,"To find the daily profit, we need to calculate the cost of making the movie and selling it, then multiply it by the number of movies sold per day.

Cost of making the movie: $2000
Selling price of the movie: 2.5 * $2000 = $5000
Daily profit: $5000 - $2000 = $3000

Now, let's calculate the weekly profit:
Daily profit: $3000
Number of days in a week: 5
Weekly profit: $3000 * 5 = $15,000

Now, let's calculate the total profit for 20 weeks:
Weekly profit: $15,000
Number of weeks: 20
Total profit: $15,000 * 20 = $300,000

James makes $300,000 in 20 weeks.",448000,False
